Unnamed: 0,Full_Name,Lat,Long,YeStart,YeEnd,Funestus,min_1,min_2,min_3,min_4,min_5,min_6,min_7,min_8,min_9,min_10,min_11,min_12,max_1,max_2,max_3,max_4,max_5,max_6,max_7,max_8,max_9,max_10,max_11,max_12
1127,Densa,7.9652,13.5714,1998,2007,1.0,18.215905761718773,18.733575439453148,19.437951660156273,19.638879394531273,21.216516113281273,20.47130737304689,19.857629394531273,19.212365722656273,19.387139892578148,19.471185302734398,16.944421386718773,15.118188476562526,38.41375122070315,38.7127624511719,39.87713012695315,39.84096679687502,36.6072937011719,34.557397460937516,32.82476196289065,30.773370361328148,32.22966918945315,33.11846313476565,34.7705017089844,33.060144042968766
1128,Djaba,8.394,13.7138,1998,2007,0.0,18.171044921875023,20.711083984375023,21.073449707031273,21.443261718750023,22.522393798828148,22.074761962890648,20.94909057617189,20.352960205078148,20.586206054687523,21.11071166992189,18.591241455078148,14.490594482421901,38.72844848632815,39.63979492187502,40.32613525390627,40.36394653320315,38.1929870605469,35.19924316406252,32.925805664062516,31.434014892578148,32.685021972656266,33.89202270507815,35.4271179199219,33.4083190917969
1129,Dogba,8.3354,13.6787,1998,2007,0.0,18.171044921875023,20.711083984375023,21.073449707031273,21.443261718750023,22.522393798828148,22.074761962890648,20.94909057617189,20.352960205078148,20.586206054687523,21.11071166992189,18.591241455078148,14.490594482421901,38.72844848632815,39.63979492187502,40.32613525390627,40.36394653320315,38.1929870605469,35.19924316406252,32.925805664062516,31.434014892578148,32.685021972656266,33.89202270507815,35.4271179199219,33.4083190917969
1130,Gamba,8.0978,13.599,1998,2007,0.0,17.530206298828148,19.333642578125023,20.410638427734398,20.078759765625023,21.657556152343773,21.084649658203148,20.492333984375023,19.70983276367189,19.916558837890648,20.096887207031273,18.101007080078148,14.419366455078151,38.46114501953127,38.96676025390627,39.92827758789065,39.9713073730469,37.0385681152344,34.53374633789065,32.58257446289065,30.80037841796877,32.33709106445315,33.2623229980469,34.7585388183594,33.122277832031266
1131,Gombo,8.5001,14.1666,1998,2007,1.0,18.160791015625023,18.896295166015648,18.692681884765648,20.731500244140648,23.048486328125023,22.41149291992189,21.205285644531273,20.916833496093773,20.921441650390648,20.975122070312523,16.063806152343773,13.762872314453151,38.77315673828127,39.9486022949219,41.08638916015627,41.14656982421877,38.87188110351565,35.80556640625002,32.8952575683594,31.336389160156273,32.78704223632815,34.357568359375016,35.52504882812502,34.02483520507815
1132,Guijiba,8.476,13.6436,1998,2007,0.0,19.06334838867189,21.521997070312523,21.497399902343773,22.485314941406273,23.03136596679689,22.466455078125023,21.287896728515648,20.866265869140648,20.990686035156273,21.52330932617189,18.260644531250023,14.561761474609401,38.95272216796877,40.07827148437502,40.6088806152344,40.6660095214844,38.70382080078127,35.75432739257815,33.316735839843766,31.797570800781273,32.97124633789065,34.30352172851565,35.92415771484377,33.645898437500016
1133,Leunda,7.9962,13.5651,1998,2007,1.0,18.215905761718773,18.733575439453148,19.437951660156273,19.638879394531273,21.216516113281273,20.47130737304689,19.857629394531273,19.212365722656273,19.387139892578148,19.471185302734398,16.944421386718773,15.118188476562526,38.41375122070315,38.7127624511719,39.87713012695315,39.84096679687502,36.6072937011719,34.557397460937516,32.82476196289065,30.773370361328148,32.22966918945315,33.11846313476565,34.7705017089844,33.060144042968766
1134,Sakdje,8.2657,13.6536,1998,2007,0.0,17.358148193359398,19.396264648437523,20.669152832031273,20.45983276367189,21.99645385742189,21.61168823242189,20.630853271484398,19.87145385742189,20.22106323242189,20.68639526367189,18.35656127929689,14.330834960937526,38.51387939453127,39.23150024414065,40.0523620605469,40.07540283203127,37.66890869140627,34.7565856933594,32.569482421875016,31.076715087890648,32.423303222656266,33.4946228027344,34.996240234375016,33.181726074218766
1135,Wari,8.0287,13.5912,1998,2007,1.0,18.215905761718773,18.733575439453148,19.437951660156273,19.638879394531273,21.216516113281273,20.47130737304689,19.857629394531273,19.212365722656273,19.387139892578148,19.471185302734398,16.944421386718773,15.118188476562526,38.41375122070315,38.7127624511719,39.87713012695315,39.84096679687502,36.6072937011719,34.557397460937516,32.82476196289065,30.773370361328148,32.22966918945315,33.11846313476565,34.7705017089844,33.060144042968766
1136,Wouro Kessoum,8.4806,13.7167,1998,2007,0.0,19.06334838867189,21.521997070312523,21.497399902343773,22.485314941406273,23.03136596679689,22.466455078125023,21.287896728515648,20.866265869140648,20.990686035156273,21.52330932617189,18.260644531250023,14.561761474609401,38.95272216796877,40.07827148437502,40.6088806152344,40.6660095214844,38.70382080078127,35.75432739257815,33.316735839843766,31.797570800781273,32.97124633789065,34.30352172851565,35.92415771484377,33.645898437500016
1137,Wasi-Ber,6.2,10.67,2011,2011,0.0,13.671441650390651,14.730737304687526,15.633081054687526,17.131005859375026,15.770349121093776,15.156060791015651,14.631951904296901,14.439111328125026,14.887384033203151,14.772912597656276,14.481927490234401,12.011743164062526,31.86242065429689,32.34038696289065,32.03020629882815,31.732232666015648,27.19954833984377,25.925988769531273,24.915551757812523,25.158227539062523,25.55724487304689,25.459130859375023,26.649957275390648,28.19127807617189
1138,Ako,6.822,10.6701,1998,2003,1.0,12.694573974609401,13.182397460937526,17.449090576171898,18.772515869140648,18.995568847656273,17.887506103515648,17.251916503906273,16.648675537109398,17.255548095703148,17.143914794921898,15.203424072265651,12.949029541015651,33.4804626464844,36.2630554199219,34.310327148437516,33.4951110839844,30.850152587890648,28.909814453125023,28.757318115234398,27.962426757812523,29.128869628906273,28.572473144531273,30.279779052734398,31.628656005859398
1139,Bambeli,6.0093,10.2553,1999,1999,1.0,11.499047851562526,13.328759765625026,12.734521484375026,15.769250488281276,15.086541748046901,14.222802734375026,14.193658447265651,14.097650146484401,13.749261474609401,13.640557861328151,13.426934814453151,11.640740966796901,31.275628662109398,32.4351745605469,33.498193359375016,31.504083251953148,28.056787109375023,26.426080322265648,24.958764648437523,24.621972656250023,24.699517822265648,25.323968505859398,27.569604492187523,29.092828369140648
1140,Bambui,6.05,10.2333,1999,1999,1.0,11.499047851562526,13.328759765625026,12.734521484375026,15.769250488281276,15.086541748046901,14.222802734375026,14.193658447265651,14.097650146484401,13.749261474609401,13.640557861328151,13.426934814453151,11.640740966796901,31.275628662109398,32.4351745605469,33.498193359375016,31.504083251953148,28.056787109375023,26.426080322265648,24.958764648437523,24.621972656250023,24.699517822265648,25.323968505859398,27.569604492187523,29.092828369140648
1141,Kedjom Keku,6.1056,10.2592,1999,1999,1.0,11.297265625000026,13.150262451171901,12.538232421875026,15.526696777343776,15.838708496093776,14.721215820312526,14.881707763671901,14.469720458984401,14.047326660156276,13.931359863281276,13.747094726562526,11.472711181640651,31.51915893554689,32.963403320312516,33.406030273437516,32.215966796875016,28.768792724609398,26.717950439453148,25.555627441406273,25.307061767578148,25.297540283203148,25.926934814453148,28.196282958984398,29.345849609375023
