Full_Name,Lat,Long,YeStart,YeEnd,Gambiae,Funestus,min_1,max_1,min_2,max_2,min_3,max_3,min_4,max_4,min_5,max_5,min_6,max_6,min_7,max_7,min_8,max_8,min_9,max_9,min_10,max_10,min_11,max_11,min_12,max_12
Houngo,6.7943,2.0398,2007,2010,0.0,1.0,16.1,39.2,22.4,39.2,22.3,38.9,23.0,38.0,22.4,36.7,21.5,34.8,20.5,31.7,21.3,33.7,20.9,34.9,21.7,35.4,19.1,37.4,19.5,39.0
Toviklin,6.8894,1.8372,2007,2009,1.0,0.0,13.2,39.1,13.2,40.3,22.2,41.6,21.6,39.5,19.9,40.2,21.9,36.0,21.0,32.8,20.4,34.6,21.2,34.1,21.1,36.2,21.2,37.2,16.9,38.4
Bassila,9.0,1.6667,2006,2007,1.0,0.0,10.7,42.3,10.7,42.7,15.6,44.1,16.9,44.2,21.0,40.7,19.9,39.7,18.8,36.2,19.2,32.5,19.7,33.8,21.4,37.1,9.6,36.8,7.1,37.2
Copargo,9.8375,1.5481,2010,2014,1.0,0.0,11.3,41.6,11.3,44.4,16.7,45.9,21.8,44.7,21.7,43.6,19.3,39.2,19.7,37.9,18.3,35.5,18.7,37.1,18.1,37.6,15.0,39.6,10.9,38.8
Kataban,9.9044,1.5302,2012,2012,1.0,0.0,9.9,39.5,11.8,42.4,16.1,43.8,16.0,45.0,21.5,44.0,20.5,40.2,19.5,38.0,18.9,32.5,19.6,34.9,18.1,37.7,10.8,38.0,10.3,38.2
Kparakounan,9.9673,1.4809,2012,2012,1.0,0.0,10.3,39.1,13.0,41.3,14.7,42.8,15.1,44.5,21.5,43.2,20.5,39.4,19.5,37.1,19.3,32.4,19.7,35.1,17.5,37.3,11.3,38.2,9.9,38.1
Akpakpa,6.3708,2.4541,2004,2004,1.0,0.0,22.3,35.2,25.1,35.1,25.8,37.7,24.5,33.3,25.3,32.9,23.7,30.5,22.3,30.0,22.9,29.8,23.6,31.4,24.1,32.6,24.7,33.6,24.1,36.2
Asecna,6.35,2.3833,2005,2010,1.0,0.0,21.0,34.0,23.0,33.0,24.0,33.0,22.0,33.0,23.0,33.0,22.0,33.0,22.0,31.0,23.0,30.0,23.0,30.0,23.0,31.0,23.0,34.0,24.0,33.0
Cotonou 2,6.356,2.436,1996,1998,1.0,0.0,23.5,34.4,21.5,34.7,23.3,35.7,25.3,32.4,24.9,32.1,23.4,30.7,22.6,29.0,21.1,29.6,23.1,31.1,24.0,31.5,24.6,33.1,23.8,34.4
Cotonou Airport,6.3561,2.3833,1995,1995,0.0,0.0,21.9,35.9,23.4,36.1,25.6,33.4,25.5,36.6,25.4,33.0,23.6,33.0,22.3,29.3,22.9,29.5,23.3,29.4,23.0,31.0,23.8,33.4,21.6,34.4
Delokpo,6.372000000000001,2.4423,2005,2005,0.0,0.0,23.4,36.4,20.1,36.1,23.8,37.4,24.9,32.9,24.4,32.6,23.9,30.6,21.9,29.3,22.5,29.4,23.7,30.2,24.4,31.5,25.2,33.1,24.8,34.9
Fifadji,6.3896,2.3985,1995,2009,1.0,0.0,20.0,36.0,21.0,36.0,23.0,33.0,23.0,33.0,23.0,33.0,22.0,32.0,22.0,30.0,22.0,30.0,22.0,30.0,22.0,32.0,24.0,34.0,23.0,34.0
Gbedjromede,6.3848,2.4185,2006,2009,1.0,0.0,20.0,36.0,21.0,36.0,23.0,33.0,23.0,33.0,23.0,33.0,22.0,32.0,22.0,30.0,22.0,30.0,22.0,30.0,22.0,32.0,24.0,34.0,23.0,34.0
Hou�yiho,6.3765,2.4045,2003,2011,1.0,1.0,22.0,34.0,24.0,34.0,23.0,34.0,24.0,34.0,23.0,33.0,24.0,31.0,23.0,30.0,22.0,30.0,23.0,31.0,22.0,32.0,23.0,32.0,23.0,33.0
